nom;prenom;email;disponibilite;distinction;moyenne;recrute
Muyisa;Kavalami;muy@gmail.com;1;1;1;0
WWW;WWW;WWW;1;0;1;0
JDJJD;JSJSJ;KSKSK;0;1;1;0
SIIS;JDDJ;OOW;0;0;1;0
JJJ;KKK;DJDD;1;1;2;0
Muyisa;Kavalami;muy@gmail.com;1;0;2;0
WWW;WWW;WWW;0;1;2;0
JDJJD;JSJSJ;KSKSK;0;0;2;0
SIIS;JDDJ;OOW;1;1;2,357142857;0
JJJ;KKK;DJDD;1;0;2,547619048;0
Muyisa;Kavalami;muy@gmail.com;0;1;2,738095238;0
WWW;WWW;WWW;0;0;2,928571429;0
JDJJD;JSJSJ;KSKSK;1;1;3,119047619;0
SIIS;JDDJ;OOW;1;0;3,30952381;0
JJJ;KKK;DJDD;0;1;3,5;0
Muyisa;Kavalami;muy@gmail.com;0;0;3,69047619;0
WWW;WWW;WWW;1;1;3,880952381;0
JDJJD;JSJSJ;KSKSK;1;0;4,071428571;0
SIIS;JDDJ;OOW;0;1;4,261904762;0
JJJ;KKK;DJDD;0;0;4,452380952;0
Muyisa;Kavalami;muy@gmail.com;1;1;4,642857143;0
WWW;WWW;WWW;1;0;4,833333333;0
JDJJD;JSJSJ;KSKSK;0;1;5,023809524;0
SIIS;JDDJ;OOW;0;0;5,214285714;0
JJJ;KKK;DJDD;1;1;5,404761905;0
Muyisa;Kavalami;muy@gmail.com;1;0;5,595238095;0
WWW;WWW;WWW;0;1;5,785714286;0
JDJJD;JSJSJ;KSKSK;0;0;5,976190476;0
SIIS;JDDJ;OOW;1;1;6,166666667;0
JJJ;KKK;DJDD;1;0;6,357142857;0
Muyisa;Kavalami;muy@gmail.com;0;1;6,547619048;0
WWW;WWW;WWW;0;0;6,738095238;0
JDJJD;JSJSJ;KSKSK;1;1;6,928571429;0
SIIS;JDDJ;OOW;1;0;7,119047619;0
JJJ;KKK;DJDD;0;1;7,30952381;0
Muyisa;Kavalami;muy@gmail.com;0;0;7,5;0
WWW;WWW;WWW;1;1;7,69047619;0
JDJJD;JSJSJ;KSKSK;1;0;7,880952381;0
SIIS;JDDJ;OOW;0;1;8,071428571;0
JJJ;KKK;DJDD;0;0;8,261904762;0
Muyisa;Kavalami;muy@gmail.com;1;1;8,452380952;0
WWW;WWW;WWW;1;0;8,642857143;0
JDJJD;JSJSJ;KSKSK;0;1;8,833333333;0
SIIS;JDDJ;OOW;0;0;9,023809524;0
JJJ;KKK;DJDD;1;1;9,214285714;0
Muyisa;Kavalami;muy@gmail.com;1;0;9,404761905;0
WWW;WWW;WWW;0;1;9,595238095;0
JDJJD;JSJSJ;KSKSK;0;0;9,785714286;0
SIIS;JDDJ;OOW;1;1;9,976190476;0
JJJ;KKK;DJDD;1;0;10,16666667;0
Muyisa;Kavalami;muy@gmail.com;0;1;10,35714286;0
WWW;WWW;WWW;0;0;10,54761905;0
JDJJD;JSJSJ;KSKSK;1;1;10,73809524;0
SIIS;JDDJ;OOW;1;0;10,92857143;0
JJJ;KKK;DJDD;0;1;11,11904762;0
Muyisa;Kavalami;muy@gmail.com;0;0;11,30952381;0
WWW;WWW;WWW;1;1;11,5;0
JDJJD;JSJSJ;KSKSK;1;0;11,69047619;0
SIIS;JDDJ;OOW;0;1;11,88095238;0
JJJ;KKK;DJDD;0;0;12,07142857;0
Muyisa;Kavalami;muy@gmail.com;1;1;12,26190476;0
WWW;WWW;WWW;1;0;12,45238095;0
JDJJD;JSJSJ;KSKSK;0;1;12,64285714;0
SIIS;JDDJ;OOW;0;0;12,83333333;0
JJJ;KKK;DJDD;1;1;13,02380952;0
Muyisa;Kavalami;muy@gmail.com;1;0;13,21428571;0
WWW;WWW;WWW;0;1;13,4047619;0
JDJJD;JSJSJ;KSKSK;0;0;13,5952381;0
SIIS;JDDJ;OOW;1;1;13,78571429;0
JJJ;KKK;DJDD;1;0;13,97619048;0
Muyisa;Kavalami;muy@gmail.com;0;1;14,16666667;0
WWW;WWW;WWW;0;0;14,35714286;0
JDJJD;JSJSJ;KSKSK;1;1;14,54761905;0
SIIS;JDDJ;OOW;1;0;14,73809524;0
JJJ;KKK;DJDD;0;1;14,92857143;0
Muyisa;Kavalami;muy@gmail.com;0;0;15,11904762;0
WWW;WWW;WWW;1;1;15,30952381;0
JDJJD;JSJSJ;KSKSK;1;0;15,5;0
SIIS;JDDJ;OOW;0;1;15,69047619;0
JJJ;KKK;DJDD;0;0;15,88095238;0
Muyisa;Kavalami;muy@gmail.com;1;1;16,07142857;0
WWW;WWW;WWW;1;0;16,26190476;0
JDJJD;JSJSJ;KSKSK;0;1;16,45238095;0
SIIS;JDDJ;OOW;0;0;16,64285714;0
JJJ;KKK;DJDD;1;1;16,83333333;0
